,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
100,96,96,94,90,96,94,92,86,98,94,92,88,90,90,88,92,92,84,78,88
200,90,92,88,86,72,82,80,80,76,76,80,70,78,74,64,68,66,66,64,68
300,78,72,80,74,58,66,68,62,62,38,48,54,38,36,52,46,28,50,38,34
400,70,62,54,54,48,46,46,42,38,46,48,40,38,26,34,44,36,28,34,40
500,68,50,44,42,42,38,30,30,24,28,20,32,36,32,20,24,26,28,30,32
600,44,38,38,28,30,26,26,30,24,22,16,20,16,10,10,26,24,16,22,20
700,34,32,16,28,22,16,24,12,2,12,8,22,18,12,14,16,20,12,6,12
800,30,26,26,18,20,14,12,18,20,18,18,12,16,4,12,4,24,12,12,12
900,32,18,14,26,20,12,8,20,16,10,12,2,8,8,14,12,8,10,10,8
1000,40,26,22,10,6,16,14,12,6,20,12,14,12,6,12,12,8,14,6,12
1100,8,18,14,6,14,10,6,12,20,8,10,4,8,8,16,20,6,6,6,6
1200,20,18,22,14,16,18,10,14,10,8,6,4,4,10,6,4,10,2,0,8
1300,24,4,12,4,14,4,10,8,4,8,10,8,2,10,2,0,2,8,2,8
1400,22,18,10,6,4,8,6,4,2,4,6,4,8,4,2,2,2,4,2,4
1500,16,10,16,8,4,10,12,6,2,4,6,4,6,2,6,4,2,6,2,2
1600,22,12,6,4,8,6,10,4,8,10,4,0,2,6,2,2,2,2,2,6
1700,20,10,10,4,4,2,10,8,2,6,6,8,2,2,6,0,2,2,2,2
1800,10,18,2,8,8,4,4,4,0,2,2,4,0,4,4,2,4,0,2,0
1900,22,10,2,6,8,0,12,4,4,0,2,4,2,0,2,2,0,0,4,2
2000,14,12,8,4,2,2,0,2,0,0,2,2,6,2,2,6,2,2,0,2
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
100,20,,,,,,,,,,,,,,,,,,,
200,20,,,,,,,,,,,,,,,,,,,
300,20,,,,,,,,,,,,,,,,,,,
400,20,,,,,,,,,,,,,,,,,,,
500,20,,,,,,,,,,,,,,,,,,,
600,20,,,,,,,,,,,,,,,,,,,
700,20,,,,,,,,,,,,,,,,,,,
800,20,,,,,,,,,,,,,,,,,,,
900,20,,,,,,,,,,,,,,,,,,,
1000,20,,,,,,,,,,,,,,,,,,,
1100,20,,,,,,,,,,,,,,,,,,,
1200,16,,,,,,,,,,,,,,,,,,,
1300,15,,,,,,,,,,,,,,,,,,,
1400,14,,,,,,,,,,,,,,,,,,,
1500,14,,,,,,,,,,,,,,,,,,,
1600,12,,,,,,,,,,,,,,,,,,,
1700,9,,,,,,,,,,,,,,,,,,,
1800,7,,,,,,,,,,,,,,,,,,,
1900,7,,,,,,,,,,,,,,,,,,,
2000,5,,,,,,,,,,,,,,,,,,,
