,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
100,100,98,94,94,92,88,88,84,96,86,92,96,88,98,90,92,98,96,88,96
200,90,86,88,68,66,68,78,86,82,76,78,74,82,68,76,74,62,74,64,74
300,74,74,72,68,48,66,60,68,66,68,62,60,76,64,64,48,74,72,60,74
400,76,60,46,46,36,52,42,40,46,46,40,54,38,48,42,42,48,50,48,44
500,42,30,48,38,36,36,32,28,26,28,46,34,42,28,34,30,34,26,42,26
600,46,34,28,28,28,22,18,20,26,22,26,10,18,20,24,28,14,22,18,22
700,36,38,18,22,22,20,24,22,16,28,26,26,16,26,18,16,28,14,22,16
800,34,26,8,20,22,24,22,16,16,14,14,14,18,18,12,14,12,22,14,18
900,30,24,22,14,14,6,18,4,22,16,10,18,16,10,14,32,12,10,10,12
1000,30,30,16,12,10,10,12,18,10,12,12,6,20,6,20,12,12,22,12,24
1100,22,16,6,14,14,14,8,16,20,14,14,6,12,10,8,12,10,12,12,6
1200,28,16,10,16,0,14,6,8,2,6,6,8,6,14,10,10,26,20,4,10
1300,14,12,8,10,10,12,6,10,6,8,6,4,6,4,10,12,4,12,6,10
1400,22,6,12,10,2,12,8,2,8,12,8,4,4,14,6,16,2,8,6,4
1500,12,10,4,6,0,12,8,6,10,2,10,4,12,6,2,4,2,4,4,6
1600,20,12,6,4,4,0,4,6,8,10,2,6,2,2,4,2,10,2,10,6
1700,10,8,4,4,10,0,8,0,6,10,4,6,0,2,8,6,2,0,4,6
1800,10,10,4,6,10,2,8,2,2,2,0,4,0,0,2,2,8,10,2,4
1900,14,4,4,4,2,2,8,4,4,6,6,4,8,2,6,2,2,0,2,6
2000,10,14,2,8,4,2,0,2,2,2,6,2,0,0,6,2,8,6,6,4
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
100,20,,,,,,,,,,,,,,,,,,,
200,20,,,,,,,,,,,,,,,,,,,
300,20,,,,,,,,,,,,,,,,,,,
400,20,,,,,,,,,,,,,,,,,,,
500,20,,,,,,,,,,,,,,,,,,,
600,20,,,,,,,,,,,,,,,,,,,
700,20,,,,,,,,,,,,,,,,,,,
800,20,,,,,,,,,,,,,,,,,,,
900,20,,,,,,,,,,,,,,,,,,,
1000,20,,,,,,,,,,,,,,,,,,,
1100,20,,,,,,,,,,,,,,,,,,,
1200,19,,,,,,,,,,,,,,,,,,,
1300,14,,,,,,,,,,,,,,,,,,,
1400,8,,,,,,,,,,,,,,,,,,,
1500,5,,,,,,,,,,,,,,,,,,,
1600,5,,,,,,,,,,,,,,,,,,,
1700,4,,,,,,,,,,,,,,,,,,,
1800,6,,,,,,,,,,,,,,,,,,,
1900,3,,,,,,,,,,,,,,,,,,,
2000,3,,,,,,,,,,,,,,,,,,,
