length,IOC,S,BI,TRI,QUAD
100,10.6,0,0,0,0
200,24.4,0,0,0,0
300,39.4,0,0,0,0
400,58.4,0,0,0,0
500,67.2,0,0,0,0
600,81,0,0,0,0
700,86.8,0,0,0,0
800,89.2,0,0,0,0
900,91,0,0,0,0
1000,93.6,0,0,0,0
1100,92.6,0,0,0,0
1200,96.6,0,0,0,0
1300,97.8,0,0,0,0
1400,97.6,0,0,0,0
1500,97,0,0,0,0
1600,96.6,0,0,0,0
1700,97.8,0,0,0,0
1800,98.8,0,0,0,0
1900,98.6,0,0,0,0
2000,98.8,0,0,0,0
2100,99.2,0,0,0,0
2200,99.6,0,0,0,0
2300,99.6,0,0,0,0
2400,99.4,0,0,0,0
2500,100,0,0,0,0
2600,100,0,0,0,0
2700,99.4,0,0,0,0
2800,99.8,0,0,0,0
2900,99.8,0,0,0,0
3000,99.4,0,0,0,0
3100,99.8,0,0,0,0
3200,99.4,0,0,0,0
3300,99.8,0,0,0,0
3400,99.8,0,0,0,0
3500,99.8,0,0,0,0
3600,100,0,0,0,0
3700,99.8,0,0,0,0
3800,99.8,0,0,0,0
3900,100,0,0,0,0
4000,99.8,0,0,0,0
