length,IOC,S,BI,TRI,QUAD
5,0,0,0.2,1,0
10,0,0,0,0,0
15,0,0,0,0.2,0
20,0,0,0,0,0
25,0,0,0,0,0
30,0,0,0,0.2,0
35,0,0,0.6,0.4,0
40,0,0,3.2,1.4,0.8
45,0,0,10.2,10.2,4.4
50,0,0,15.4,14,9.8
55,0,0,28.4,19.8,9
60,0,0,30,22.2,11.2
65,0,0,24,25,14.8
70,0,0.2,31.6,26.8,29.6
75,0,0.2,34.4,28.4,31.8
80,0,0.8,43.6,32,35.8
85,0,1.4,41,36.2,38.4
90,0,1.8,46,36,40.2
95,0,2.2,44.6,38.6,44.4
100,0,3.2,50.6,41.2,48.6
105,0,4.2,54.8,43.8,51.8
110,0,5.6,54.6,44.8,49.6
115,0,5.6,56.2,45.6,52.8
120,0,4.4,54.4,47.4,50.6
125,0.4,7.6,56.6,46.6,51.4
130,0,12,55,48,53.4
135,0.6,11.6,59.8,53.4,57.6
140,0.2,11,56.6,49.6,54.4
145,0.4,16.8,61.6,52.6,58.2
150,0,12.6,61.8,51.6,60.8
155,0,9.4,58.6,52,55
160,0,9.2,59.2,47.8,55.2
165,0.2,10.4,56.2,49,57.6
170,0.2,10.8,58.4,50.2,58.8
175,0,13.2,64.8,56.4,62.2
180,1,17.8,61.6,57.8,60.6
185,1.2,17.8,60.4,57,61.6
190,1,23.8,60.2,53.4,57.8
195,1,32,59.2,59.2,61.2
200,1.2,32.4,63.6,58,62.8
205,3.4,32.2,61,59,61.2
210,3.6,37.4,60,60,60.8
215,6.8,40.6,62.4,58.8,63.6
220,6.2,38.2,62.4,64.6,63.6
225,10,41.2,63.2,62,64.6
230,11.4,43,66.6,66.4,67.2
235,13.4,51,64.4,68,66
240,15,50.2,63.4,63.2,65.2
245,16.4,53.8,64.8,64.6,66
250,19.4,59.6,65.2,69.4,70.2
255,21,62.4,69.6,72,70.6
260,22.2,62.8,66.2,70.4,69.2
265,25.2,58.8,63,65.4,65.8
270,30.8,67,68.6,72.2,73
275,31.6,65.8,64.8,68.6,66.8
280,36.4,69,66.4,67.6,68.4
285,36.2,70.8,68.2,70.6,70
290,43.4,72.6,69.2,70,71.2
295,48.2,72.6,66.6,68.8,69.8
300,42.8,72.2,63.6,70.8,68.8
305,51.6,73,68,73.8,68.6
310,55,76.2,68.2,71.4,71.8
315,54.2,75.2,67.2,72.6,68.6
320,57,74,68,69.2,69.4
325,59,77.8,67.2,73.2,71.4
330,62.8,76.2,68,73,69.8
335,66.4,78,69,78,74.8
340,66.2,75.8,67.6,72.6,68.6
345,72.2,76.8,69.6,76.4,73
350,72.6,79.2,71,75.8,74.4
355,70.2,78.6,73.2,75.2,74.4
360,77.4,82.2,73,78.6,74.8
365,74.4,80.6,70.6,74.6,73
370,71.4,78.8,69.6,74.8,70.8
375,75.6,82.4,74.4,77.6,78.8
380,78.6,81.6,70.4,74.4,76
385,81.4,81.2,70.8,78,75.8
390,78.6,79,69.8,76.8,75
395,80,78.8,69.2,74.6,73.2
400,81.8,85,75,80.8,77.8
405,78.6,78.4,70,74,72.4
410,80,83.6,72.8,77.4,76.8
415,83.8,84.6,73.8,79.8,79.4
420,83,82.8,71.4,77.2,77
425,81.8,83.4,73.4,80.8,76.6
430,78.6,79.2,72,78,75.6
435,83.6,83,76,78.8,79
440,79.4,80.6,73.2,79.2,77.4
445,88.2,86.4,76.2,80.6,81
450,83.6,81.4,70,76.4,75
455,86.4,82.8,75,83,75.6
460,83.8,82.2,69.6,76.6,72.8
465,85,85.4,74.8,78.6,78
470,85,84.4,72.2,77.8,76.6
475,84.2,81,69,76.2,72.6
480,80.6,78.8,68.2,73.8,72.4
485,85,82.4,72.6,78.6,74.8
490,86.4,85,72,78.2,76
495,87.6,85.8,75.6,81.2,79.8
500,88,85.6,74.8,80.4,77.6
600,87.2,83.2,74.8,82,78
700,89.6,86,81.6,83.2,80.4
800,87.6,84,75.2,80.4,76.8
900,92,87.2,78.8,86,85.2
1000,90.4,88.4,82.4,86.4,85.6
1100,90,88,81.2,85.2,85.6
1200,87.6,86.4,74.4,84,79.6
1300,88,87.6,81.6,85.6,83.2
1400,94.8,94.8,87.6,92.4,90.4
1500,88.4,88,82.4,84,83.2
1600,89.6,88.8,79.6,84.8,83.2
1700,90.8,90,85.2,88.4,89.2
1800,92.8,92,88,90,90.4
1900,89.2,89.2,84.8,86.8,88.4
2000,86.8,85.6,80.8,84,83.6
2100,90.8,90.8,87.6,89.6,89.2
2200,92.4,92.4,86.8,92.4,91.6
2300,88.4,88.4,84.8,86.8,86.4
2400,89.6,89.2,85.6,87.6,87.6
2500,92.8,92.8,89.2,91.2,91.2
2600,87.2,86.8,84,86,86.4
2700,87.2,87.2,83.2,84.8,84.8
2800,88,87.6,86.8,87.2,87.2
2900,90.4,90,86.8,89.2,88.4
3000,87.2,86.8,83.2,86,86.4
3100,88.4,88,82.4,86.8,86.4
3200,87.6,87.2,86.8,87.2,86.8
3300,92,92,89.2,90.8,90.4
3400,88.4,88.4,86.8,88,88.4
3500,90.8,90.4,88,90,88.4
3600,88,88,86.4,87.6,88
3700,94.4,93.6,92.4,93.2,92.8
3800,91.2,91.2,89.6,90.4,90.8
3900,86.4,86,85.2,85.6,85.6
4000,88.8,88.8,87.2,87.6,87.6
