, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10
100,93,96,95,92,89,91,92,89,91,92
200,86,80,74,79,79,79,79,85,75,84
300,76,67,64,73,77,74,75,74,74,63
400,65,65,62,62,59,67,68,65,63,62
500,60,48,52,55,61,64,59,58,62,55
600,58,44,58,56,45,53,50,50,51,43
700,44,45,39,41,52,39,47,50,43,45
800,33,43,37,44,40,42,44,37,42,44
900,36,36,39,40,34,35,37,39,35,33
1000,33,31,39,36,26,35,31,34,32,29
1100,33,27,27,32,35,35,30,33,29,39
1200,33,20,22,29,30,24,32,31,27,32
1300,27,20,27,25,35,29,21,25,26,28
1400,24,26,31,36,28,28,28,30,27,23
1500,23,27,24,25,25,27,24,27,24,22
1600,25,18,23,28,26,18,16,21,30,15
1700,28,21,24,20,25,22,22,24,32,23
1800,21,20,23,23,20,24,25,19,15,18
1900,26,22,22,24,18,21,15,13,20,15
2000,21,14,23,20,15,30,20,20,18,23
