length,IOC,S,BI,TRI,QUAD
10,0,1,7,10,10
20,0,4,3,3,5
30,0,11,13,4,12
40,0,8,10,11,15
50,0,7,16,11,16
60,1,11,15,11,22
70,2,12,12,15,21
80,9,19,22,18,25
90,11,24,19,21,29
100,15,25,29,20,32
110,21,35,32,26,30
120,18,20,27,20,28
130,21,34,26,25,30
140,29,35,29,25,38
150,26,36,30,29,38
160,26,30,26,32,37
170,28,34,39,32,41
180,28,40,27,28,39
190,22,32,27,25,26
200,21,32,25,24,33
210,27,36,32,37,42
220,29,42,33,33,41
230,26,32,28,33,38
240,31,39,28,30,35
250,30,34,25,29,37
260,32,33,29,37,42
270,34,39,36,38,40
280,41,41,32,36,43
290,37,47,32,43,48
300,43,37,37,36,43
310,36,36,31,32,40
320,39,51,39,45,45
330,48,39,36,34,45
340,40,46,41,48,48
350,40,40,31,35,38
360,50,42,29,40,42
370,41,37,33,38,46
380,43,47,34,40,49
390,51,48,42,42,50
400,42,37,34,36,42
410,48,49,43,43,47
420,49,47,41,42,47
430,50,47,35,49,49
440,47,51,35,42,45
450,44,39,34,36,42
460,50,52,40,45,48
470,49,44,29,40,49
480,42,45,38,45,47
490,53,49,42,50,51
500,57,48,34,48,51
600,61,61,44,54,60
700,57,51,42,52,55
800,63,49,40,47,46
900,72,56,42,57,59
1000,74,66,51,60,65
1100,71,63,52,59,60
1200,85,68,58,66,64
1300,79,71,48,59,62
1400,83,69,56,66,62
1500,82,58,48,58,60
1600,86,69,56,65,68
1700,84,64,49,59,60
1800,89,65,51,61,56
1900,92,76,64,71,73
2000,90,74,62,69,65
2100,93,77,60,70,73
2200,91,73,64,68,70
2300,96,70,62,68,68
2400,92,72,59,68,64
2500,95,66,63,71,69
2600,94,73,61,67,66
2700,91,74,61,71,70
2800,96,75,61,75,71
2900,91,74,61,75,70
3000,92,80,61,72,67
3100,96,83,68,76,75
3200,96,79,68,75,69
3300,95,79,57,72,71
3400,94,79,65,72,73
3500,96,79,66,72,71
3600,94,78,70,75,71
3700,97,77,63,76,73
3800,98,86,81,82,86
3900,98,82,70,77,78
4000,97,75,64,72,76
